Janelia_ID,Line,CGID,Gene,Flybase_ID,Flybase_Link,Expressed,Eve_Expression,Seq_coord_of_fragment,Fragment_length,Transmembrane_Domain,Signal_Domain,Interpro_Description_GO_Term_Name,Functional_Group,SMART_ID,PFAM_ID,aCC,RP2,Us,Pcc,Els,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R11H05&mode=embryo,GMR11H05,R11H05,CG3620,norpA,FBgn0262738,http://flybase.org/reports/FBgn0262738.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,X:4251881..4252333,452,,,"GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste,GO:0002385~mucosal immune response,GO:0006629~lipid metabolic process,GO:0006644~phospholipid metabolic process,GO:0006651~diacylglycerol biosynthetic process,GO:0007200~phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007601~visual perception,GO:0007602~phototransduction,GO:0007623~circadian rhythm,GO:0008344~adult locomotory behavior,GO:0008654~phospholipid biosynthetic process,GO:0009649~entrainment of circadian clock,GO:0016042~lipid catabolic process,GO:0016056~G protein-coupled opsin signaling pathway,GO:0016059~negative regulation of opsin-mediated signaling pathway,GO:0019722~calcium-mediated signaling,GO:0030265~phospholipase C-activating opsin-mediated signaling pathway,GO:0035556~intracellular signal transduction,GO:0043052~thermotaxis,GO:0043153~entrainment of circadian clock by photoperiod,GO:0045494~photoreceptor cell maintenance,GO:0046488~phosphatidylinositol metabolic process,GO:0046673~negative regulation of compound eye retinal cell programmed cell death,GO:0048015~phosphatidylinositol-mediated signaling,GO:0051209~release of sequestered calcium ion into cytosol,GO:0071482~cellular response to light stimulus,GO:2000370~positive regulation of clathrin-dependent endocytosis,,GO:0016027~inaD signaling complex,GO:0016028~rhabdomere,,GO:0001227~DNA-binding transcription repressor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0003700~DNA-binding transcription factor activity,",TF,"SM00148:PLCXc,SM00149:PLCYc,SM00239:C2,","PF00168:C2,PF00387:PI-PLC-Y,PF00388:PI-PLC-X,PF06631:DUF1154,PF09279:EF-hand_like,PF17787:PH_14,",no,no,yes,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R11H12&mode=embryo,GMR11H12,R11H12,CG18362,Mondo,FBgn0032940,http://flybase.org/reports/FBgn0032940.htm,"CNS small subset, EVE lateral cells, Head, Other: gut/internal, Scattered",Lateral cells,2L:21304858..21305559,701,,,"GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0009744~response to sucrose,GO:0042593~glucose homeostasis,GO:0070328~triglyceride homeostasis,,GO:0005634~nucleus,GO:0005667~transcription regulator complex,GO:0005737~cytoplasm,GO:0005829~cytosol,,GO:0004930~G protein-coupled receptor activity,GO:0004994~somatostatin receptor activity,GO:0008188~neuropeptide receptor activity,GO:0008261~allatostatin receptor activity,GO:0042277~peptide binding,GO:0042923~neuropeptide binding,",TF,"SM00353:HLH,","PF00010:HLH,",?,no,?,?,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R12C02&mode=embryo,GMR12C02,R12C02,CG3694,Gγ30A,FBgn0267252,http://flybase.org/reports/FBgn0267252.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,2L:9264841..9266642,1801,,,"GO:0007186~G protein-coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007601~visual perception,GO:0007602~phototransduction,GO:0050909~sensory perception of taste,GO:0071244~cellular response to carbon dioxide,,GO:0005737~cytoplasm,GO:0005834~heterotrimeric G-protein complex,GO:0016028~rhabdomere,GO:0030424~axon,,GO:0000166~nucleotide binding,GO:0005085~guanyl-nucleotide exchange factor activity,",None,"SM00224:GGL,SM01224:G_gamma,","PF00631:G-gamma,",no,no,?,no,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R12F05&mode=embryo,GMR12F05,R12F05,CG11450,net,FBgn0002931,http://flybase.org/reports/FBgn0002931.htm,"CNS small subset, CNS superficial layer, EVE lateral cells, Head",Lateral cells,2L:84249..87098,2849,,,"GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006355~regulation of DNA-templated transcription,GO:0007423~sensory organ development,GO:0007474~imaginal disc-derived wing vein specification,GO:0008586~imaginal disc-derived wing vein morphogenesis,GO:0009653~anatomical structure morphogenesis,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0061564~axon development,,GO:0005634~nucleus,,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0046983~protein dimerization activity,GO:0070888~E-box binding,",TF,"SM00353:HLH,","PF00010:HLH,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R12G07&mode=embryo,GMR12G07,R12G07,CG10197,kn,FBgn0001319,http://flybase.org/reports/FBgn0001319.htm,"CNS small subset, CNS superficial layer, EVE lateral cells, Midline",Lateral cells,2R:10686764..10689831,3067,,,"GO:0001700~embryonic development via the syncytial blastoderm,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007350~blastoderm segmentation,GO:0007367~segment polarity determination,GO:0007419~ventral cord development,GO:0007474~imaginal disc-derived wing vein specification,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0007526~larval somatic muscle development,GO:0009608~response to symbiont,GO:0010468~regulation of gene expression,GO:0016204~determination of muscle attachment site,GO:0035203~regulation of lamellocyte differentiation,GO:0035287~head segmentation,GO:0035288~anterior head segmentation,GO:0035289~posterior head segmentation,GO:0035291~specification of segmental identity, intercalary segment,GO:0042694~muscle cell fate specification,GO:0045087~innate immune response,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0048468~cell development,GO:0048731~system development,GO:0048813~dendrite morphogenesis,GO:0048814~regulation of dendrite morphogenesis,,GO:0005634~nucleus,,GO:0004435~phosphatidylinositol phospholipase C activity,GO:0004629~phospholipase C activity,GO:0005509~calcium ion binding,",TF,"SM00429:IPT,","PF01833:TIG,PF16422:COE1_DBD,PF16423:COE1_HLH,",?,no,no,?,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R15B04&mode=embryo,GMR15B04,R15B04,CG3234,tim,FBgn0014396,http://flybase.org/reports/FBgn0014396.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,2L:3495853..3499346,3493,,,"GO:0000076~DNA replication checkpoint signaling,GO:0003053~circadian regulation of heart rate,GO:0006281~DNA repair,GO:0007617~mating behavior,GO:0007620~copulation,GO:0007622~rhythmic behavior,GO:0008062~eclosion rhythm,GO:0009648~photoperiodism,GO:0009649~entrainment of circadian clock,GO:0042306~regulation of protein import into nucleus,GO:0042749~regulation of circadian sleep/wake cycle,GO:0043111~replication fork arrest,GO:0045187~regulation of circadian sleep/wake cycle, sleep,GO:0045475~locomotor rhythm,GO:0046957~negative phototaxis,GO:0048511~rhythmic process,GO:0048512~circadian behavior,GO:0050764~regulation of phagocytosis,GO:0050766~positive regulation of phagocytosis,GO:0060086~circadian temperature homeostasis,GO:0071482~cellular response to light stimulus,,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031298~replication fork protection complex,GO:0048471~perinuclear region of cytoplasm,,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0046983~protein dimerization activity,GO:0070888~E-box binding,",TF,,"PF04821:TIMELESS,PF05029:TIMELESS_C,",no,no,?,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R16C04&mode=embryo,GMR16C04,R16C04,CG4491,noc,FBgn0005771,http://flybase.org/reports/FBgn0005771.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,2L:14456649..14458514,1865,,,"GO:0001752~compound eye photoreceptor fate commitment,GO:0007219~Notch signaling pathway,GO:0007420~brain development,GO:0007424~open tracheal system development,GO:0007430~terminal branching, open tracheal system,GO:0008056~ocellus development,GO:0010629~negative regulation of gene expression,GO:0035214~eye-antennal disc development,GO:0035218~leg disc development,GO:0035220~wing disc development,GO:0045892~negative regulation of DNA-templated transcription,,GO:0005634~nucleus,,GO:0005102~signaling receptor binding,GO:0005201~extracellular matrix structural constituent,",TF,,,no,no,?,no,yes,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R16D04&mode=embryo,GMR16D04,R16D04,CG5170,Dp1,FBgn0027835,http://flybase.org/reports/FBgn0027835.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,2R:14300494..14302792,2298,,,"GO:0000280~nuclear division,GO:0007059~chromosome segregation,GO:0030261~chromosome condensation,GO:0031507~heterochromatin formation,GO:0045727~positive regulation of translation,,GO:0000792~heterochromatin,GO:0005634~nucleus,GO:0005701~polytene chromosome chromocenter,GO:0005737~cytoplasm,GO:1990904~ribonucleoprotein complex,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0003700~DNA-binding transcription factor activity,GO:0046872~metal ion binding,",TF,"SM00322:KH,","PF00013:KH_1,",no,no,?,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R16D07&mode=embryo,GMR16D07,R16D07,CG7109,mts,FBgn0004177,http://flybase.org/reports/FBgn0004177.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal, Poor stain",Lateral cells,2L:7828127..7830509,2382,,,"GO:0000082~G1/S transition of mitotic cell cycle,GO:0000226~microtubule cytoskeleton organization,GO:0000278~mitotic cell cycle,GO:0006914~autophagy,GO:0007051~spindle organization,GO:0007059~chromosome segregation,GO:0007098~centrosome cycle,GO:0007099~centriole replication,GO:0007168~receptor guanylyl cyclase signaling pathway,GO:0007406~negative regulation of neuroblast proliferation,GO:0007460~R8 cell fate commitment,GO:0007465~R7 cell fate commitment,GO:0009416~response to light stimulus,GO:0035331~negative regulation of hippo signaling,GO:0045752~positive regulation of Toll signaling pathway,GO:0045879~negative regulation of smoothened signaling pathway,GO:0045880~positive regulation of smoothened signaling pathway,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0048190~wing disc dorsal/ventral pattern formation,GO:0048477~oogenesis,GO:0051225~spindle assembly,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0055059~asymmetric neuroblast division,GO:0090162~establishment of epithelial cell polarity,GO:0090263~positive regulation of canonical Wnt signaling pathway,,GO:0000159~protein phosphatase type 2A complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005814~centriole,GO:0005829~cytosol,GO:0090443~FAR/SIN/STRIPAK complex,,GO:0003713~transcription coactivator activity,GO:0004721~phosphoprotein phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0004726~non-membrane spanning protein tyrosine phosphatase activity,GO:0008134~transcription factor binding,GO:0030946~protein tyrosine phosphatase activity, metal-dependent,GO:0046872~metal ion binding,GO:0140297~DNA-binding transcription factor binding,",TF,"SM00156:PP2Ac,","PF00149:Metallophos,",no,?,no,no,no,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R16E01&mode=embryo,GMR16E01,R16E01,CG4574,Plc21C,FBgn0004611,http://flybase.org/reports/FBgn0004611.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall, Other: gut/internal",Lateral cells,2L:325798..328458,2660,,,"GO:0006629~lipid metabolic process,GO:0007186~G protein-coupled receptor signaling pathway,GO:0007629~flight behavior,GO:0016042~lipid catabolic process,GO:0035556~intracellular signal transduction,GO:0043153~entrainment of circadian clock by photoperiod,GO:0046488~phosphatidylinositol metabolic process,GO:0048015~phosphatidylinositol-mediated signaling,GO:0051209~release of sequestered calcium ion into cytosol,GO:0070050~neuron cellular homeostasis,GO:1900073~regulation of neuromuscular synaptic transmission,,GO:0005737~cytoplasm,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,",TFs and Synapse,"SM00148:PLCXc,SM00149:PLCYc,SM00239:C2,","PF00168:C2,PF00387:PI-PLC-Y,PF00388:PI-PLC-X,PF09279:EF-hand_like,PF17787:PH_14,",no,no,yes,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R18A05&mode=embryo,GMR18A05,R18A05,CG1725,dlg1,FBgn0001624,http://flybase.org/reports/FBgn0001624.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,X:11268513..11269821,1308,,,"GO:0000132~establishment of mitotic spindle orientation,GO:0001708~cell fate specification,GO:0001738~morphogenesis of a polarized epithelium,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007318~pole plasm protein localization,GO:0007391~dorsal closure,GO:0007399~nervous system development,GO:0007617~mating behavior,GO:0008049~male courtship behavior,GO:0009790~embryo development,GO:0016333~morphogenesis of follicular epithelium,GO:0016334~establishment or maintenance of polarity of follicular epithelium,GO:0016335~morphogenesis of larval imaginal disc epithelium,GO:0016336~establishment or maintenance of polarity of larval imaginal disc epithelium,GO:0019991~septate junction assembly,GO:0030707~follicle cell of egg chamber development,GO:0030714~anterior/posterior axis specification, follicular epithelium,GO:0042058~regulation of epidermal growth factor receptor signaling pathway,GO:0042332~gravitaxis,GO:0043113~receptor clustering,GO:0045167~asymmetric protein localization involved in cell fate determination,GO:0045175~basal protein localization,GO:0045197~establishment or maintenance of epithelial cell apical/basal polarity,GO:0045475~locomotor rhythm,GO:0045571~negative regulation of imaginal disc growth,GO:0045887~positive regulation of synaptic assembly at neuromuscular junction,GO:0046956~positive phototaxis,GO:0048149~behavioral response to ethanol,GO:0051124~synaptic assembly at neuromuscular junction,GO:0051294~establishment of spindle orientation,GO:0060581~cell fate commitment involved in pattern specification,GO:0061060~negative regulation of peptidoglycan recognition protein signaling pathway,GO:0097120~receptor localization to synapse,GO:0098609~cell-cell adhesion,GO:0099072~regulation of postsynaptic membrane neurotransmitter receptor levels,,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005918~septate junction,GO:0005920~smooth septate junction,GO:0005938~cell cortex,GO:0016323~basolateral plasma membrane,GO:0016327~apicolateral plasma membrane,GO:0016328~lateral plasma membrane,GO:0030054~cell junction,GO:0031256~leading edge membrane,GO:0031594~neuromuscular junction,GO:0042734~presynaptic membrane,GO:0043005~neuron projection,GO:0043195~terminal bouton,GO:0045179~apical cortex,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0048471~perinuclear region of cytoplasm,GO:0061174~type I terminal bouton,GO:0061176~type Ib terminal bouton,GO:0061689~tricellular tight junction,GO:0071212~subsynaptic reticulum,GO:0098839~postsynaptic density membrane,,GO:0004888~transmembrane signaling receptor activity,GO:0005231~excitatory extracellular ligand-gated monoatomic ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0022848~acetylcholine-gated monoatomic cation-selective channel activity,GO:0042166~acetylcholine binding,GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,",Synapse,"SM00072:GuKc,SM00228:PDZ,SM00326:SH3,SM00569:L27,","PF00018:SH3_1,PF00595:PDZ,PF00625:Guanylate_kin,PF09058:L27_1,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R23A08&mode=embryo,GMR23A08,R23A08,CG10524,Pkcδ,FBgn0287828,http://flybase.org/reports/FBgn0287828.htm,"CNS small subset, EVE lateral cells, Head, Midline, Other: bodywall, Other: gut/internal",Lateral cells,X:12309800..12313633,3833,,,"GO:0006468~protein phosphorylation,GO:0016310~phosphorylation,GO:0035556~intracellular signal transduction,GO:0060361~flight,,GO:0005886~plasma membrane,,GO:0004385~guanylate kinase activity,GO:0005515~protein binding,GO:0019900~kinase binding,GO:0019901~protein kinase binding,",None,"SM00109:C1,SM00133:S_TK_X,SM00220:S_TKc,","PF00069:Pkinase,PF00130:C1_1,PF00433:Pkinase_C,",?,no,yes,?,no,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R23E11&mode=embryo,GMR23E11,R23E11,CG8084,ana,FBgn0011746,http://flybase.org/reports/FBgn0011746.htm,"CNS small subset, EVE lateral cells, Head",Lateral cells,2R:4962563..4963404,841,,,"GO:0007399~nervous system development,GO:0007406~negative regulation of neuroblast proliferation,GO:0030154~cell differentiation,,GO:0005576~extracellular region,,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0046872~metal ion binding,",TF,,,no,no,yes,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R25D02&mode=embryo,GMR25D02,R25D02,CG10236,LanA,FBgn0002526,http://flybase.org/reports/FBgn0002526.htm,"EVE lateral cells, Midline, Other: bodywall, Other: gut/internal, Scattered",Lateral cells,3L:6210319..6210744,425,,SignalP-noTM,"GO:0007155~cell adhesion,GO:0007411~axon guidance,GO:0007498~mesoderm development,GO:0007507~heart development,GO:0009887~animal organ morphogenesis,GO:0009888~tissue development,GO:0030155~regulation of cell adhesion,GO:0030334~regulation of cell migration,GO:0033627~cell adhesion mediated by integrin,GO:0034446~substrate adhesion-dependent cell spreading,GO:0035001~dorsal trunk growth, open tracheal system,GO:0035011~melanotic encapsulation of foreign target,GO:0045886~negative regulation of synaptic assembly at neuromuscular junction,GO:0045995~regulation of embryonic development,GO:0071711~basement membrane organization,,GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0008021~synaptic vesicle,GO:0030424~axon,GO:0036062~presynaptic periactive zone,GO:0062023~collagen-containing extracellular matrix,,GO:0004948~calcitonin receptor activity,GO:0008036~diuretic hormone receptor activity,GO:0008188~neuropeptide receptor activity,GO:0008528~G protein-coupled peptide receptor activity,",Axon Guidance and Synapse,"SM00136:LamNT,SM00180:EGF_Lam,SM00181:EGF,SM00281:LamB,SM00282:LamG,SM01411:Ephrin_rec_like,","PF00052:Laminin_B,PF00053:Laminin_EGF,PF00055:Laminin_N,PF02210:Laminin_G_2,PF06008:Laminin_I,PF06009:Laminin_II,",?,?,yes,?,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R25D06&mode=embryo,GMR25D06,R25D06,CG6667,dl,FBgn0260632,http://flybase.org/reports/FBgn0260632.htm,"EVE lateral cells, Head, Other: bodywall, Scattered",Lateral cells,2L:17449287..17449941,654,,,"GO:0002225~positive regulation of antimicrobial peptide production,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0006955~immune response,GO:0007249~canonical NF-kappaB signal transduction,GO:0008063~Toll signaling pathway,GO:0009950~dorsal/ventral axis specification,GO:0009953~dorsal/ventral pattern formation,GO:0033554~cellular response to stress,GO:0034097~response to cytokine,GO:0035006~melanization defense response,GO:0035206~regulation of hemocyte proliferation,GO:0035208~positive regulation of hemocyte proliferation,GO:0038061~non-canonical NF-kappaB signal transduction,GO:0045087~innate immune response,GO:0045612~positive regulation of hemocyte differentiation,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0048468~cell development,GO:0048731~system development,GO:0048935~peripheral nervous system neuron development,,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031594~neuromuscular junction,GO:0071212~subsynaptic reticulum,",TFs and Synapse,"SM00429:IPT,","PF00554:RHD_DNA_bind,PF16179:RHD_dimer,",no,no,no,no,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R25F01&mode=embryo,GMR25F01,R25F01,CG1689,lz,FBgn0002576,http://flybase.org/reports/FBgn0002576.htm,"CNS small subset, EVE lateral cells, Head, Midline, Other: bodywall, Other: gut/internal",Lateral cells,X:9187937..9189364,1427,,,"GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006355~regulation of DNA-templated transcription,GO:0007469~antennal development,GO:0007486~imaginal disc-derived female genitalia development,GO:0016360~sensory organ precursor cell fate determination,GO:0035162~embryonic hemopoiesis,GO:0035163~embryonic hemocyte differentiation,GO:0035165~embryonic crystal cell differentiation,GO:0035168~larval lymph gland hemocyte differentiation,GO:0035211~spermathecum morphogenesis,GO:0035314~scab formation,GO:0042060~wound healing,GO:0042675~compound eye cone cell differentiation,GO:0042688~crystal cell differentiation,GO:0042691~positive regulation of crystal cell differentiation,GO:0045467~R7 cell development,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0046672~positive regulation of compound eye retinal cell programmed cell death,GO:0048592~eye morphogenesis,GO:0048749~compound eye development,,GO:0005634~nucleus,,GO:0005112~Notch binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0043208~glycosphingolipid binding,GO:0048018~receptor ligand activity,",TF,,"PF00853:Runt,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R25F11&mode=embryo,GMR25F11,R25F11,CG1264,lab,FBgn0002522,http://flybase.org/reports/FBgn0002522.htm,"CNS small subset, EVE lateral cells, Head, Midline, Other: bodywall",Lateral cells,3R:2496365..2498285,1920,,,"GO:0001709~cell fate determination,GO:0006357~regulation of transcription by RNA polymerase II,GO:0007420~brain development,GO:0007494~midgut development,GO:0030154~cell differentiation,GO:0035284~brain segmentation,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0060323~head morphogenesis,,GO:0005634~nucleus,",TF,"SM00389:HOX,","PF00046:Homeodomain,",?,no,no,no,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R27C08&mode=embryo,GMR27C08,R27C08,CG30011,gem,FBgn0050011,http://flybase.org/reports/FBgn0050011.htm,"CNS small subset, EVE lateral cells, Head, Other: bodywall",Lateral cells,2R:6020685..6021419,734,,,"GO:0006357~regulation of transcription by RNA polymerase II,,GO:0005634~nucleus,,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005003~ephrin receptor activity,GO:0005005~transmembrane-ephrin receptor activity,GO:0005524~ATP binding,",TF,,"PF04516:CP2,PF18016:SAM_3,",no,no,?,no,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R27C09&mode=embryo,GMR27C09,R27C09,CG31716,Cnot4,FBgn0051716,http://flybase.org/reports/FBgn0051716.htm,"EVE lateral cells, Head, Other: gut/internal",Lateral cells,2L:10398620..10399372,752,,,"GO:0016567~protein ubiquitination,GO:0046427~positive regulation of receptor signaling pathway via JAK-STAT,,GO:0005737~cytoplasm,GO:0030014~CCR4-NOT complex,,GO:0003677~DNA binding,",None,"SM00356:ZnF_C3H1,SM00361:RRM_1,","PF00076:RRM_1,PF14570:zf-RING_4,",no,no,?,?,yes,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R29A03&mode=embryo,GMR29A03,R29A03,CG12548,nompB,FBgn0016919,http://flybase.org/reports/FBgn0016919.htm,"CNS small subset, EVE lateral cells, Head, Other: gut/internal",Lateral cells,2L:21592652..21593040,388,,,"GO:0001822~kidney development,GO:0007605~sensory perception of sound,GO:0008104~protein localization,GO:0042073~intraciliary transport,GO:0060122~inner ear receptor cell stereocilium organization,GO:0060271~cilium assembly,GO:1905515~non-motile cilium assembly,,GO:0005814~centriole,GO:0005929~cilium,GO:0030990~intraciliary transport particle,GO:0030992~intraciliary transport particle B,GO:0036064~ciliary basal body,GO:0097546~ciliary base,GO:0097730~non-motile cilium,,GO:0003924~GTPase activity,GO:0005509~calcium ion binding,",None,"SM00028:TPR,","PF13174:TPR_6,PF13181:TPR_8,PF13432:TPR_16,",no,no,yes,no,?,
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R29A07&mode=embryo,GMR29A07,R29A07,CG10118,ple,FBgn0005626,http://flybase.org/reports/FBgn0005626.htm,"CNS small subset, CNS superficial layer, EVE lateral cells, Head, Midline, Other: bodywall",Lateral cells,3L:6710020..6710467,447,,,"GO:0006584~catecholamine metabolic process,GO:0006585~dopamine biosynthetic process from tyrosine,GO:0007619~courtship behavior,GO:0008049~male courtship behavior,GO:0008344~adult locomotory behavior,GO:0009072~aromatic amino acid metabolic process,GO:0009611~response to wounding,GO:0035220~wing disc development,GO:0040040~thermosensory behavior,GO:0042416~dopamine biosynthetic process,GO:0042417~dopamine metabolic process,GO:0042423~catecholamine biosynthetic process,GO:0042542~response to hydrogen peroxide,GO:0043052~thermotaxis,GO:0048066~developmental pigmentation,GO:0048067~cuticle pigmentation,GO:0048082~regulation of adult chitin-containing cuticle pigmentation,GO:0048085~adult chitin-containing cuticle pigmentation,GO:2000274~regulation of epithelial cell migration, open tracheal system,,GO:0005737~cytoplasm,GO:0030424~axon,GO:0043204~perikaryon,GO:0048471~perinuclear region of cytoplasm,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0001046~core promoter sequence-specific DNA binding,GO:0003700~DNA-binding transcription factor activity,GO:0004879~nuclear receptor activity,GO:0005102~signaling receptor binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0035259~nuclear glucocorticoid receptor binding,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,",TF,,"PF00351:Biopterin_H,",?,?,?,?,?,UNCLEAR STAINING
,https://flweb.janelia.org/cgi-bin/view_flew_imagery.cgi?line=R29B07&mode=embryo,GMR29B07,R29B07,CG1560,Pkc98E,FBgn0003093,http://flybase.org/reports/FBgn0003093.htm,"CNS small subset, EVE lateral cells, Head, Poor stain",Lateral cells,X:7958764..7959508,744,,,"GO:0006468~protein phosphorylation,GO:0007030~Golgi organization,GO:0007616~long-term memory,GO:0008285~negative regulation of cell population proliferation,GO:0009950~dorsal/ventral axis specification,GO:0016310~phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0034389~lipid droplet organization,GO:0035556~intracellular signal transduction,GO:0045471~response to ethanol,,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,,GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0046872~metal ion binding,",TF,"SM00109:C1,SM00133:S_TK_X,SM00220:S_TKc,SM00239:C2,","PF00069:Pkinase,PF00130:C1_1,PF00168:C2,PF00433:Pkinase_C,",?,?,?,?,?,UNCLEAR STAINING
